Customer_ID,Customer_Name,Gender,Age,City,State,Region,Segment
C001,Customer 1,Female,57,Delhi,Delhi,North,Corporate
C002,Customer 2,Female,35,Delhi,Delhi,North,Consumer
C003,Customer 3,Male,56,Mumbai,Maharashtra,West,Corporate
C004,Customer 4,Female,48,Bengaluru,Karnataka,South,Corporate
C005,Customer 5,Male,52,Pune,Maharashtra,West,Corporate
C006,Customer 6,Female,29,Mumbai,Maharashtra,West,Corporate
C007,Customer 7,Male,24,Bengaluru,Karnataka,South,Home Office
C008,Customer 8,Female,42,Delhi,Delhi,North,Home Office
C009,Customer 9,Female,24,Bengaluru,Karnataka,South,Consumer
C010,Customer 10,Female,24,Delhi,Delhi,North,Consumer
C011,Customer 11,Female,38,Delhi,Delhi,North,Home Office
C012,Customer 12, male ,21,Bengaluru,Karnataka,South,Corporate
C013, Customer 13 ,Male,59,Delhi,Delhi,North,Consumer
C014,Customer 14,Male,33,Bengaluru,Karnataka,South,Corporate
C015,Customer 15,Male,,Mumbai,Maharashtra,West,Corporate
C016,Customer 16,Male,30,Bengaluru,Karnataka,South,Corporate
C017,Customer 17,Female,28,Bengaluru,Karnataka,,Corporate
C018,Customer 18,Female,42,Delhi,Delhi,North,Home Office
C019,Customer 19,Male,29,Bengaluru,Karnataka,South,Consumer
C020,Customer 20,Male,34,Mumbai,Maharashtra,West,Home Office
C021,Customer 21,Male,51,Mumbai,Maharashtra,West,Home Office
C022,Customer 22,Female,38,Mumbai,Maharashtra,West,Consumer
C023,Customer 23,Female,54,Mumbai,Maharashtra,West,Corporate
C024,Customer 24, male ,52,Delhi,Delhi,North,Home Office
C025,Customer 25,Female,55,Pune,Maharashtra,West,Corporate
C026, Customer 26 ,Female,45,Bengaluru,Karnataka,South,Consumer
C027,Customer 27,Female,23,Bengaluru,Karnataka,South,Consumer
C028,Customer 28,Male,48,Pune,Maharashtra,West,Consumer
C029,Customer 29,Female,58,Pune,Maharashtra,West,Consumer
C030,Customer 30,Male,,Pune,Maharashtra,West,Consumer
C031,Customer 31,Female,59,Pune,Maharashtra,West,Consumer
C032,Customer 32,Male,59,Pune,Maharashtra,West,Corporate
C033,Customer 33,Female,42,Mumbai,Maharashtra,West,Home Office
C034,Customer 34,Female,27,Delhi,Delhi,,Consumer
C035,Customer 35,Female,50,Bengaluru,Karnataka,South,Corporate
C036,Customer 36, male ,29,Delhi,Delhi,North,Consumer
C037,Customer 37,Female,50,Delhi,Delhi,North,Home Office
C038,Customer 38,Male,33,Mumbai,Maharashtra,West,Home Office
C039, Customer 39 ,Male,54,Delhi,Delhi,North,Consumer
C040,Customer 40,Male,36,Delhi,Delhi,North,Home Office
C041,Customer 41,Male,42,Delhi,Delhi,North,Consumer
C042,Customer 42,Male,59,Delhi,Delhi,North,Consumer
C043,Customer 43,Female,34,Mumbai,Maharashtra,West,Consumer
C044,Customer 44,Female,21,Bengaluru,Karnataka,South,Consumer
C045,Customer 45,Female,,Delhi,Delhi,North,Consumer
C046,Customer 46,Female,42,Delhi,Delhi,North,Corporate
C047,Customer 47,Male,26,Pune,Maharashtra,West,Consumer
C048,Customer 48, male ,41,Bengaluru,Karnataka,South,Consumer
C049,Customer 49,Male,50,Bengaluru,Karnataka,South,Home Office
C050,Customer 50,Male,27,Delhi,Delhi,North,Corporate
C051,Customer 51,Female,31,Mumbai,Maharashtra,,Corporate
C052, Customer 52 ,Male,45,Delhi,Delhi,North,Corporate
C053,Customer 53,Male,30,Bengaluru,Karnataka,South,Consumer
C054,Customer 54,Male,29,Mumbai,Maharashtra,West,Home Office
C055,Customer 55,Male,59,Bengaluru,Karnataka,South,Home Office
C056,Customer 56,Female,29,Bengaluru,Karnataka,South,Home Office
C057,Customer 57,Male,20,Mumbai,Maharashtra,West,Home Office
C058,Customer 58,Male,47,Pune,Maharashtra,West,Consumer
C059,Customer 59,Male,36,Mumbai,Maharashtra,West,Consumer
C060,Customer 60, male ,,Delhi,Delhi,North,Corporate
C061,Customer 61,Female,28,Delhi,Delhi,North,Consumer
C062,Customer 62,Female,57,Delhi,Delhi,North,Home Office
C063,Customer 63,Male,54,Bengaluru,Karnataka,South,Consumer
C064,Customer 64,Female,31,Pune,Maharashtra,West,Home Office
C065, Customer 65 ,Male,31,Pune,Maharashtra,West,Consumer
C066,Customer 66,Male,55,Bengaluru,Karnataka,South,Consumer
C067,Customer 67,Female,26,Delhi,Delhi,North,Home Office
C068,Customer 68,Male,32,Pune,Maharashtra,,Corporate
C069,Customer 69,Male,52,Pune,Maharashtra,West,Corporate
C070,Customer 70,Male,48,Pune,Maharashtra,West,Corporate
C071,Customer 71,Female,48,Mumbai,Maharashtra,West,Home Office
C072,Customer 72, male ,53,Bengaluru,Karnataka,South,Corporate
C073,Customer 73,Female,28,Mumbai,Maharashtra,West,Corporate
C074,Customer 74,Female,48,Pune,Maharashtra,West,Corporate
C075,Customer 75,Male,,Pune,Maharashtra,West,Consumer
C076,Customer 76,Female,27,Mumbai,Maharashtra,West,Consumer
C077,Customer 77,Male,36,Delhi,Delhi,North,Consumer
C078, Customer 78 ,Male,26,Bengaluru,Karnataka,South,Corporate
C079,Customer 79,Male,34,Bengaluru,Karnataka,South,Consumer
C080,Customer 80,Female,41,Bengaluru,Karnataka,South,Corporate
C010,Customer 10,Female,24,Delhi,Delhi,North,Consumer
