Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Mode,Ship_Mode,Delivery_Days,Return_Status
O0001,2025-04-11,C046,P011,1,789,0.1,710.1,568.08,142.02,Card,Express,5,No
O0002,2025-08-14,C003,P013,3,579,0.1,1563.3,1250.64,312.66,Cash,Standard,1,Yes
O0003,2025-02-23,C011,P009,3,90,0.05,256.5,194.4,62.1,UPI,Standard,7,No
O0004,2025-12-13,C034,P013,2,599,0.15 ,1018.3,862.56,155.74,Cash,Express,1,No
O0005,2025-01-30,C024,P014,1,325,0,325.0,234.0,91.0,Cash,Standard,7,No
O0006,2025-02-12,C078,P028,2,118,0.1,212.4,169.92,42.48,Card,Express,1,No
O0007,2025-10-11,C054,P030,3,686,0.05,1955.1,1481.76,473.34,Card,Standard,1,Yes
O0008,2025-05-15,C007,P006,2,369,0.1,664.2,531.36,132.84,Cash,Standard,3,No
O0009,2025-09-14,C023,P009,3,872,0,2616.0,1883.52,732.48,UPI,Standard,1,Yes
O0010,2025-09-16,C071,P007,5,536,0.05,2546.0,1929.6,616.4,UPI,Standard,6,No
O0011,2025-12-03,C064,P018,4,568,0.1,2044.8,1635.84,408.96,Cash,Standard,2,No
O0012,2025-04-12,C018,P013,3,105,0.05,299.25,226.8,72.45,Card,Standard,6,No
O0013,2025-08-09,C021,P002,1,731,0.15 ,621.35,526.32,95.03,Cash,Express,5,Yes
O0014,2025-12-21,C038,P002,4,239,0.05,908.2,688.32,219.88,UPI,Express,1,No
O0015,2025-07-06,C043,P018,3,300,0,900.0,648.0,252.0,UPI,Standard,3,Yes
O0016,2025-01-01,C043,P013,1,536,0.1,482.4,385.92,96.48,Cash,Standard,2,Yes
O0017,2025-02-16,C034,P027,1,197,0.15 ,167.45,141.84,25.61,Cash,Standard,4,Yes
O0018,2025-06-03,C039,P021,2,136,0.05,258.4,195.84,62.56,Cash,Express,7,No
O0019,2025-09-11,C020,P010,5,708,0.05,3363.0,2548.8,814.2,Card,Express,6,Yes
O0020,2025-09-26,C065,P019,1,896,0.05,851.2,645.12,206.08,Card,Standard,1,Yes
O0021,2025-11-23,C047,P005,1,435,0.15 ,369.75,313.2,56.55,Cash,Standard,6,Yes
O0022,2025-11-17,C069,P022,2,551,0.1,991.8,793.44,198.36,Card,Express,7,Yes
